,Year,From,To,Score
390,2013,Armenia,Ireland,0
391,2013,Italy,France,0
392,2013,Italy,Lithuania,6
393,2013,Italy,Moldova,4
394,2013,Italy,Finland,0
395,2013,Italy,Spain,2
396,2013,Italy,Belgium,0
397,2013,Italy,Estonia,0
398,2013,Italy,Belarus,0
399,2013,Italy,Malta,10
400,2013,Italy,Russia,0
401,2013,Italy,Germany,0
402,2013,Italy,Armenia,0
403,2013,Italy,Netherlands,0
404,2013,Italy,Romania,1
405,2013,Italy,United Kingdom,0
406,2013,Italy,Sweden,0
407,2013,Italy,Hungary,3
408,2013,Italy,Denmark,12
409,2013,Italy,Iceland,0
410,2013,Italy,Azerbaijan,0
411,2013,Italy,Greece,7
412,2013,Italy,Ukraine,5
414,2013,Italy,Norway,8
415,2013,Italy,Georgia,0
416,2013,Italy,Ireland,0
417,2013,Finland,France,0
418,2013,Finland,Lithuania,0
419,2013,Finland,Moldova,0
421,2013,Finland,Spain,0
422,2013,Finland,Belgium,3
423,2013,Finland,Estonia,6
424,2013,Finland,Belarus,0
425,2013,Finland,Malta,0
426,2013,Finland,Russia,2
427,2013,Finland,Germany,0
428,2013,Finland,Armenia,0
429,2013,Finland,Netherlands,8
430,2013,Finland,Romania,0
431,2013,Finland,United Kingdom,0
432,2013,Finland,Sweden,4
433,2013,Finland,Hungary,10
434,2013,Finland,Denmark,7
435,2013,Finland,Iceland,5
436,2013,Finland,Azerbaijan,0
437,2013,Finland,Greece,1
438,2013,Finland,Ukraine,0
439,2013,Finland,Italy,0
440,2013,Finland,Norway,12
441,2013,Finland,Georgia,0
442,2013,Finland,Ireland,0
443,2013,Spain,France,0
444,2013,Spain,Lithuania,0
445,2013,Spain,Moldova,2
446,2013,Spain,Finland,0
448,2013,Spain,Belgium,0
449,2013,Spain,Estonia,0
450,2013,Spain,Belarus,0
451,2013,Spain,Malta,1
452,2013,Spain,Russia,6
453,2013,Spain,Germany,3
454,2013,Spain,Armenia,0
455,2013,Spain,Netherlands,0
456,2013,Spain,Romania,0
457,2013,Spain,United Kingdom,4
458,2013,Spain,Sweden,0
459,2013,Spain,Hungary,0
460,2013,Spain,Denmark,8
461,2013,Spain,Iceland,0
462,2013,Spain,Azerbaijan,7
463,2013,Spain,Greece,0
464,2013,Spain,Ukraine,10
465,2013,Spain,Italy,12
466,2013,Spain,Norway,5
467,2013,Spain,Georgia,0
468,2013,Spain,Ireland,0
469,2013,Belarus,France,0
470,2013,Belarus,Lithuania,5
471,2013,Belarus,Moldova,4
472,2013,Belarus,Finland,0
473,2013,Belarus,Spain,0
474,2013,Belarus,Belgium,0
475,2013,Belarus,Estonia,0
477,2013,Belarus,Malta,7
478,2013,Belarus,Russia,8
479,2013,Belarus,Germany,0
480,2013,Belarus,Armenia,2
481,2013,Belarus,Netherlands,0
482,2013,Belarus,Romania,0
483,2013,Belarus,United Kingdom,0
484,2013,Belarus,Sweden,0
485,2013,Belarus,Hungary,0
486,2013,Belarus,Denmark,1
487,2013,Belarus,Iceland,0
488,2013,Belarus,Azerbaijan,10
489,2013,Belarus,Greece,6
490,2013,Belarus,Ukraine,12
491,2013,Belarus,Italy,0
492,2013,Belarus,Norway,3
493,2013,Belarus,Georgia,0
494,2013,Belarus,Ireland,0
495,2013,Latvia,France,0
496,2013,Latvia,Lithuania,0
497,2013,Latvia,Moldova,0
498,2013,Latvia,Finland,0
499,2013,Latvia,Spain,0
500,2013,Latvia,Belgium,2
501,2013,Latvia,Estonia,10
502,2013,Latvia,Belarus,0
503,2013,Latvia,Malta,5
504,2013,Latvia,Russia,12
505,2013,Latvia,Germany,0
506,2013,Latvia,Armenia,0
507,2013,Latvia,Netherlands,0
508,2013,Latvia,Romania,0
509,2013,Latvia,United Kingdom,0
510,2013,Latvia,Sweden,4
511,2013,Latvia,Hungary,0
512,2013,Latvia,Denmark,6
513,2013,Latvia,Iceland,0
514,2013,Latvia,Azerbaijan,3
515,2013,Latvia,Greece,1
516,2013,Latvia,Ukraine,7
517,2013,Latvia,Italy,0
518,2013,Latvia,Norway,8
519,2013,Latvia,Georgia,0
520,2013,Latvia,Ireland,0
521,2013,Bulgaria,France,0
522,2013,Bulgaria,Lithuania,0
523,2013,Bulgaria,Moldova,3
524,2013,Bulgaria,Finland,0
525,2013,Bulgaria,Spain,0
526,2013,Bulgaria,Belgium,0
527,2013,Bulgaria,Estonia,0
528,2013,Bulgaria,Belarus,0
529,2013,Bulgaria,Malta,0
530,2013,Bulgaria,Russia,5
531,2013,Bulgaria,Germany,0
532,2013,Bulgaria,Armenia,8
533,2013,Bulgaria,Netherlands,0
534,2013,Bulgaria,Romania,0
535,2013,Bulgaria,United Kingdom,0
536,2013,Bulgaria,Sweden,4
537,2013,Bulgaria,Hungary,6
538,2013,Bulgaria,Denmark,2
539,2013,Bulgaria,Iceland,0
540,2013,Bulgaria,Azerbaijan,12
541,2013,Bulgaria,Greece,7
542,2013,Bulgaria,Ukraine,10
543,2013,Bulgaria,Italy,0
544,2013,Bulgaria,Norway,1
545,2013,Bulgaria,Georgia,0
546,2013,Bulgaria,Ireland,0
547,2013,Belgium,France,0
548,2013,Belgium,Lithuania,0
549,2013,Belgium,Moldova,3
550,2013,Belgium,Finland,0
551,2013,Belgium,Spain,0
553,2013,Belgium,Estonia,0
554,2013,Belgium,Belarus,0
555,2013,Belgium,Malta,0
556,2013,Belgium,Russia,4
557,2013,Belgium,Germany,0
558,2013,Belgium,Armenia,0
559,2013,Belgium,Netherlands,12
560,2013,Belgium,Romania,0
561,2013,Belgium,United Kingdom,0
562,2013,Belgium,Sweden,1
563,2013,Belgium,Hungary,0
564,2013,Belgium,Denmark,10
565,2013,Belgium,Iceland,0
566,2013,Belgium,Azerbaijan,5
567,2013,Belgium,Greece,2
568,2013,Belgium,Ukraine,8
569,2013,Belgium,Italy,6
570,2013,Belgium,Norway,7
571,2013,Belgium,Georgia,0
572,2013,Belgium,Ireland,0
573,2013,Russia,France,0
574,2013,Russia,Lithuania,0
575,2013,Russia,Moldova,6
576,2013,Russia,Finland,0
577,2013,Russia,Spain,0
578,2013,Russia,Belgium,8
579,2013,Russia,Estonia,0
580,2013,Russia,Belarus,0
581,2013,Russia,Malta,0
583,2013,Russia,Germany,0
584,2013,Russia,Armenia,2
585,2013,Russia,Netherlands,3
586,2013,Russia,Romania,0
587,2013,Russia,United Kingdom,0
588,2013,Russia,Sweden,0
589,2013,Russia,Hungary,0
590,2013,Russia,Denmark,4
591,2013,Russia,Iceland,0
592,2013,Russia,Azerbaijan,12
593,2013,Russia,Greece,10
594,2013,Russia,Ukraine,1
595,2013,Russia,Italy,0
596,2013,Russia,Norway,7
597,2013,Russia,Georgia,5
598,2013,Russia,Ireland,0
599,2013,Malta,France,0
600,2013,Malta,Lithuania,0
601,2013,Malta,Moldova,0
602,2013,Malta,Finland,0
603,2013,Malta,Spain,0
604,2013,Malta,Belgium,0
605,2013,Malta,Estonia,0
606,2013,Malta,Belarus,2
608,2013,Malta,Russia,0
609,2013,Malta,Germany,0
610,2013,Malta,Armenia,1
611,2013,Malta,Netherlands,0
612,2013,Malta,Romania,7
613,2013,Malta,United Kingdom,5
614,2013,Malta,Sweden,0
615,2013,Malta,Hungary,0
616,2013,Malta,Denmark,6
617,2013,Malta,Iceland,0
618,2013,Malta,Azerbaijan,12
619,2013,Malta,Greece,4
620,2013,Malta,Ukraine,10
621,2013,Malta,Italy,8
622,2013,Malta,Norway,3
623,2013,Malta,Georgia,0
624,2013,Malta,Ireland,0
625,2013,Estonia,France,0
626,2013,Estonia,Lithuania,0
627,2013,Estonia,Moldova,0
628,2013,Estonia,Finland,0
629,2013,Estonia,Spain,0
630,2013,Estonia,Belgium,2
632,2013,Estonia,Belarus,0
633,2013,Estonia,Malta,5
634,2013,Estonia,Russia,12
635,2013,Estonia,Germany,0
636,2013,Estonia,Armenia,0
637,2013,Estonia,Netherlands,7
638,2013,Estonia,Romania,0
639,2013,Estonia,United Kingdom,0
640,2013,Estonia,Sweden,1
641,2013,Estonia,Hungary,4
642,2013,Estonia,Denmark,8
643,2013,Estonia,Iceland,6
644,2013,Estonia,Azerbaijan,0
645,2013,Estonia,Greece,0
646,2013,Estonia,Ukraine,10
647,2013,Estonia,Italy,0
648,2013,Estonia,Norway,3
649,2013,Estonia,Georgia,0
650,2013,Estonia,Ireland,0
651,2013,Germany,France,0
652,2013,Germany,Lithuania,0
653,2013,Germany,Moldova,0
654,2013,Germany,Finland,1
655,2013,Germany,Spain,0
656,2013,Germany,Belgium,0
657,2013,Germany,Estonia,0
658,2013,Germany,Belarus,0
659,2013,Germany,Malta,5
660,2013,Germany,Russia,2
662,2013,Germany,Armenia,0
663,2013,Germany,Netherlands,0
664,2013,Germany,Romania,0
665,2013,Germany,United Kingdom,0
666,2013,Germany,Sweden,3
667,2013,Germany,Hungary,12
668,2013,Germany,Denmark,10
669,2013,Germany,Iceland,8
670,2013,Germany,Azerbaijan,4
671,2013,Germany,Greece,6
672,2013,Germany,Ukraine,0
673,2013,Germany,Italy,0
674,2013,Germany,Norway,7
675,2013,Germany,Georgia,0
676,2013,Germany,Ireland,0
677,2013,Iceland,France,2
678,2013,Iceland,Lithuania,0
679,2013,Iceland,Moldova,0
680,2013,Iceland,Finland,0
681,2013,Iceland,Spain,0
682,2013,Iceland,Belgium,0
683,2013,Iceland,Estonia,0
684,2013,Iceland,Belarus,0
685,2013,Iceland,Malta,5
686,2013,Iceland,Russia,1
687,2013,Iceland,Germany,0
688,2013,Iceland,Armenia,0
689,2013,Iceland,Netherlands,8
690,2013,Iceland,Romania,6
691,2013,Iceland,United Kingdom,0
692,2013,Iceland,Sweden,4
693,2013,Iceland,Hungary,0
694,2013,Iceland,Denmark,12
696,2013,Iceland,Azerbaijan,7
697,2013,Iceland,Greece,0
698,2013,Iceland,Ukraine,3
699,2013,Iceland,Italy,0
700,2013,Iceland,Norway,10
701,2013,Iceland,Georgia,0
702,2013,Iceland,Ireland,0
704,2013,France,Lithuania,0
705,2013,France,Moldova,4
706,2013,France,Finland,3
707,2013,France,Spain,0
708,2013,France,Belgium,5
709,2013,France,Estonia,0
710,2013,France,Belarus,0
711,2013,France,Malta,2
712,2013,France,Russia,6
713,2013,France,Germany,0
714,2013,France,Armenia,7
715,2013,France,Netherlands,0
716,2013,France,Romania,1
717,2013,France,United Kingdom,0
718,2013,France,Sweden,0
719,2013,France,Hungary,0
720,2013,France,Denmark,12
721,2013,France,Iceland,0
722,2013,France,Azerbaijan,8
723,2013,France,Greece,0
724,2013,France,Ukraine,0
725,2013,France,Italy,10
726,2013,France,Norway,0
727,2013,France,Georgia,0
728,2013,France,Ireland,0
729,2013,Greece,France,0
730,2013,Greece,Lithuania,0
731,2013,Greece,Moldova,0
732,2013,Greece,Finland,0
733,2013,Greece,Spain,0
734,2013,Greece,Belgium,0
735,2013,Greece,Estonia,0
736,2013,Greece,Belarus,1
737,2013,Greece,Malta,3
738,2013,Greece,Russia,0
739,2013,Greece,Germany,0
740,2013,Greece,Armenia,0
741,2013,Greece,Netherlands,0
742,2013,Greece,Romania,10
